ID	Pop	FT_2020	FT_2021	Cold_Day_1	Cold_Day_2	Cold_Day_3	Cold_Day_4	Cold_Day_5	Room_Day_1	Room_Day_2	Room_Day_3	Room_Day_4	Room_Day_5	Cold_Day_1.Ro	Cold_Day_2.Ro	Cold_Day_3.Ro	Cold_Day_4.Ro	Cold_Day_5.Ro	cold_dec	room_dec
NSL5637PI168025	Hybrid	56	56.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI233317	Inbred	41	48	18.1	18.05	16.45	17	17.6	17.75	17.65	12.95	13.95	13.85	1.01971831	1.02266289	1.27027027	1.218637993	1.270758123	0.027624309	0.21971831
NSL8585	Inbred	52.5	58.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22041PI233317	Hybrid	69.5	49	18.35	19.4	14.75	17.75	17.55	16.4	18.7	21.95	23.05	24.25	1.118902439	1.037433155	0.671981777	0.770065076	0.72371134	0.04359673	-0.478658537
NSL67056	Landrace	58	55.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22640A23848	Hybrid	43.5	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI177107PI162573	Hybrid	48.5	54	18.05	18.3	16.6	16.95	17.05	17.5	16.55	18.2	16.8	16.05	1.031428571	1.105740181	0.912087912	1.008928571	1.062305296	0.055401662	0.082857143
Ames27119	Inbred	51.5	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22048	Inbred	56	57.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI578125	Landrace	46.5	56	16.2	16.2	21.35	21.4	19.95	14.9	15.85	22.2	22.7	24.2	1.087248322	1.022082019	0.961711712	0.942731278	0.824380165	-0.231481481	-0.624161074
PI516160PI516162	Hybrid	45.5	44.5	16.3	14.35	14.6	14.55	14.1	12.7	11.1	10.6	9.85	9.1	1.283464567	1.292792793	1.377358491	1.47715736	1.549450549	0.134969325	0.283464567
Ames23510	Inbred	44	48.5	16.45	14.5	13.55	14.35	12.75	16.6	16.05	13.3	13.7	13.75	0.990963855	0.903426791	1.018796992	1.047445255	0.927272727	0.224924012	0.171686747
PI516167PI516172	Hybrid	47.5	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22032	Inbred	44.5	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI219880	Landrace	43.5	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22053	Inbred	52.5	53.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI358539NS101292	Hybrid	49.5	54	12.35	12.8	12.3	11.55	11.75	14.3	14.5	9.5	10.85	11.2	0.863636364	0.882758621	1.294736842	1.064516129	1.049107143	0.048582996	0.216783217
A22050A22049	Hybrid	49	51.5	15.15	17.45	16.6	17.1	16.95	14.75	16.05	19.45	18.85	18.15	1.027118644	1.087227414	0.853470437	0.907161804	0.933884298	-0.118811881	-0.230508475
Ames22033	Inbred	53	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22025	Landrace	53.5	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22046	Inbred	45	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI516166	Landrace	45.5	50	10.15	10.35	10.45	10.8	10.3	12.15	11.85	10.1	12.2	11.45	0.835390947	0.873417722	1.034653465	0.885245902	0.899563319	-0.014778325	0.057613169
Ames22012	Inbred	47	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI515458	Landrace	75.5	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames23509	Inbred	44	50.5	16.6	16.15	13.1	13.45	13.45	15.65	12.1	10.65	11	11	1.060702875	1.334710744	1.230046948	1.222727273	1.222727273	0.189759036	0.297124601
PI515454	Landrace	63.5	67.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NS101292PI358532	Hybrid	46.5	54.5	11.6	13.6	10.8	13.6	12.6	13.95	13.8	13.75	13.3	13.1	0.831541219	0.985507246	0.785454545	1.022556391	0.961832061	-0.086206897	0.0609319
NSL8581	Inbred	62.5	62.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames26765	Inbred	63	63	15.2	19.5	13.6	15.9	19.3	15.1	13.45	12.25	14.05	11.8	1.006622517	1.449814126	1.110204082	1.131672598	1.63559322	-0.269736842	0.218543046
Ames22015	Inbred	46	49	18.75	19.5	14.9	17.25	20	19.6	14.55	10.8	13.4	16	0.956632653	1.340206186	1.37962963	1.287313433	1.25	-0.066666667	0.183673469
Ames22018	Inbred	44	51	16.05	15.4	15.3	16.45	17.65	15	11.9	11.05	12	12.15	1.07	1.294117647	1.384615385	1.370833333	1.452674897	-0.099688474	0.19
Ames22052	Inbred	54.5	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI204823	Landrace	42.5	42.5	20.2	19.4	17.95	22	21.45	22.1	20.45	15.95	15.8	17	0.914027149	0.948655257	1.12539185	1.392405063	1.261764706	-0.061881188	0.230769231
Ames27446	Inbred	52.5	54.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI253730	Landrace	42	64.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI358536	Inbred	51.5	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI515426	Landrace	65.5	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI415228PI415243	Hybrid	44	54.5	11.95	10.8	13.95	12	10.2	10.55	7.95	9.25	9.4	9.55	1.132701422	1.358490566	1.508108108	1.276595745	1.068062827	0.146443515	0.09478673
PI516139PI516152	Hybrid	48	61	14.7	13.7	13.55	13.55	14.1	15.3	15.1	14.75	14.95	15.2	0.960784314	0.907284768	0.918644068	0.906354515	0.927631579	0.040816327	0.006535948
PI231745	Landrace	52	59	16.4	14.4	16.9	17.55	16.75	22.95	19.15	17.55	21.55	22.2	0.71459695	0.751958225	0.962962963	0.814385151	0.754504505	-0.021341463	0.032679739
PI358534	Inbred	55.5	60.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI204813PI204812	Hybrid	50	54.5	14.75	14.7	14.1	14.3	13.75	15.15	16.1	17.05	17.5	16.35	0.97359736	0.913043478	0.826979472	0.817142857	0.840978593	0.06779661	-0.079207921
Ames22022	Inbred	56	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI255977PI245130	Hybrid	43.5	44	20.35	18.75	18	17.95	18.45	24.95	25.75	25.9	23.15	23.95	0.815631263	0.72815534	0.694980695	0.77537797	0.770354906	0.093366093	0.04008016
PI550493	Inbred	61	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22016	Inbred	44.5	49	16.4	15.3	14.15	15.15	16.85	12.2	10.4	8.6	9.95	11.55	1.344262295	1.471153846	1.645348837	1.522613065	1.458874459	-0.027439024	0.053278689
PI177107	Landrace	50.5	46	12.6	14.3	12.85	11.2	10.05	10.95	12.7	13	13	14.35	1.150684932	1.125984252	0.988461538	0.861538462	0.700348432	0.202380952	-0.310502283
Ames22042	Inbred	51	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22049A22025	Hybrid	48.5	51.5	14.9	15.05	13.65	13.9	14	16.55	16.55	18.45	17.15	16.95	0.900302115	0.909365559	0.739837398	0.810495627	0.825958702	0.060402685	-0.024169184
PI515464	Landrace	59.5	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSL8583	Landrace	53.5	54.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSL73325PI204812	Hybrid	46.5	57	18.7	16.35	16.15	14.65	16.8	15.75	15.8	16	15.8	15.85	1.187301587	1.034810127	1.009375	0.92721519	1.059936909	0.101604278	-0.006349206
NSL229320	Landrace	52.5	56	13	13.05	12.5	13.05	14.5	12.2	12.05	11.4	12.25	12.7	1.06557377	1.082987552	1.096491228	1.065306122	1.141732283	-0.115384615	-0.040983607
PI220866	Landrace	69.5	40	15.3	16.3	15	13.7	13.6	17.85	17.2	14.95	14.35	13.85	0.857142857	0.947674419	1.003344482	0.954703833	0.981949458	0.111111111	0.224089636
Ames26762	Inbred	61.5	59	14.8	15.45	12.15	11.75	10.95	13.5	12	10.75	12.5	14.5	1.096296296	1.2875	1.130232558	0.94	0.755172414	0.260135135	-0.074074074
PI358527	Inbred	51	55	17.05	15	13.1	13.6	13.9	14.25	13.55	12.1	12.05	12.5	1.196491228	1.10701107	1.082644628	1.128630705	1.112	0.184750733	0.122807018
PI516165	Landrace	45	44	16.45	15.7	12.95	13.05	12.7	12.4	11.9	13.6	12.95	11.7	1.326612903	1.319327731	0.952205882	1.007722008	1.085470085	0.227963526	0.056451613
A22066A22064	Hybrid	51	54.5	12.15	11.65	14.1	18.95	18.8	13.1	14.75	23.25	24	23.75	0.927480916	0.789830508	0.606451613	0.789583333	0.791578947	-0.547325103	-0.812977099
PI358538	Inbred	51.5	56.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSL42727NSL5637	Hybrid	49.5	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI219870	Landrace	44.5	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22023A22062	Hybrid	50.5	59.5	13.35	11.95	13.4	12.45	11.5	15.15	15.5	19.05	15.95	12.4	0.881188119	0.770967742	0.703412073	0.780564263	0.927419355	0.138576779	0.181518152
PI358522	Inbred	59.5	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI231297	Landrace	45.5	54	11.1	11	11.35	9.65	10.05	9.95	9.95	9.05	9.7	9.25	1.115577889	1.105527638	1.254143646	0.994845361	1.086486486	0.094594595	0.070351759
PI586705	Landrace	50	56	12.55	12.35	16.95	16.4	15.85	14.6	14.1	13.9	15.5	15.95	0.859589041	0.875886525	1.21942446	1.058064516	0.993730408	-0.262948207	-0.092465753
PI608627	Landrace	45	53	9.3	8.95	10.8	10.95	9.95	8.45	9.4	8.7	10.85	9.6	1.100591716	0.95212766	1.24137931	1.00921659	1.036458333	-0.069892473	-0.136094675
NSL42727NSL5639	Hybrid	52	51.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI516153	Landrace	46.5	53.5	17.5	15.75	17.35	16.35	16.75	19.35	18.3	15.4	14.95	15.1	0.904392765	0.860655738	1.126623377	1.093645485	1.109271523	0.042857143	0.219638243
PI516160	Landrace	45	43	15.15	15	14.1	13.65	13.25	17.75	14.6	17.35	13.3	13.35	0.853521127	1.02739726	0.812680115	1.026315789	0.992509363	0.125412541	0.247887324
Ames22029	Inbred	44.5	53.5	15.3	13.7	12.3	12.5	15.05	14.3	14	12.35	13	12.35	1.06993007	0.978571429	0.995951417	0.961538462	1.218623482	0.016339869	0.136363636
Ames22062NSL8579	Hybrid	52	57	15.55	16.5	17.25	16.3	16.65	18.45	19.3	20.7	21.05	21.05	0.842818428	0.85492228	0.833333333	0.774346793	0.790973872	-0.07073955	-0.140921409
PI516160PI516163	Hybrid	45.5	49	18.2	15.6	15.1	13.75	13.2	15.15	15.65	14.55	14.25	12.5	1.201320132	0.996805112	1.037800687	0.964912281	1.056	0.274725275	0.174917492
PI587133	Inbred	50	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI231298	Landrace	57	50	13.15	12.9	11.65	11.4	13.45	11.45	11.85	11.1	11.2	9.6	1.148471616	1.088607595	1.04954955	1.017857143	1.401041667	-0.022813688	0.161572052
Ames22067	Inbred	48	44	32.05	27.8	23.7	23.35	23.4	26.6	22.9	19.8	21.55	23.2	1.204887218	1.213973799	1.196969697	1.083526682	1.00862069	0.269890796	0.127819549
Ames22028	Inbred	49.5	56	12.7	14.2	12.85	12.3	12.5	12.3	10.3	9.25	10.05	11.65	1.032520325	1.378640777	1.389189189	1.223880597	1.072961373	0.015748031	0.052845528
Ames22014	Inbred	52.5	56.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI231746	Landrace	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames23508	Inbred	47	45	18.65	20.35	17.75	19	19.4	16.65	14.2	13.15	15.25	16.3	1.12012012	1.433098592	1.349809886	1.245901639	1.190184049	-0.040214477	0.021021021
A28439A28369	Hybrid	49	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI231302	Landrace	55	50	10.65	10.65	10.35	12.1	10	11.6	12.3	11.85	11.15	11.8	0.918103448	0.865853659	0.873417722	1.085201794	0.847457627	0.061032864	-0.017241379
NSL101292	Inbred	53	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI516168PI516170	Hybrid	44.5	44	15.25	15	15.8	15.15	15.75	16.2	16.2	14.4	13.7	12.8	0.941358025	0.925925926	1.097222222	1.105839416	1.23046875	-0.032786885	0.209876543
NSL5618	Landrace	49.5	54.5	19	17.35	15.2	14.35	15.15	17.85	14	11.55	14.05	14.6	1.06442577	1.239285714	1.316017316	1.021352313	1.037671233	0.202631579	0.182072829
PI516167	Landrace	47	43	12.55	11.75	14.2	13.65	13.1	13.25	12.3	14.4	16.75	15.75	0.947169811	0.955284553	0.986111111	0.814925373	0.831746032	-0.043824701	-0.188679245
PI231746PI233005	Hybrid	46.5	54.5	17.3	16.9	15.35	14.75	15.45	17.55	14.85	15.55	13.85	14.55	0.985754986	1.138047138	0.987138264	1.064981949	1.06185567	0.106936416	0.170940171
A22041A22064	Hybrid	47	49	17.4	14.6	20	16.05	15.35	19.25	21.85	25.95	25.8	25.9	0.903896104	0.66819222	0.770712909	0.622093023	0.592664093	0.117816092	-0.345454545
PI443845	Landrace	42.5	62.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22025A22023	Hybrid	52	54.5	15.85	15.8	15.15	13.75	12.85	14.7	14.55	15.9	11.75	11.05	1.078231293	1.085910653	0.952830189	1.170212766	1.162895928	0.189274448	0.24829932
A22049A22634	Hybrid	46.5	48.5	13.5	13.3	13.05	12.9	12.75	13.35	13.1	16.85	15.8	15.15	1.011235955	1.015267176	0.774480712	0.816455696	0.841584158	0.055555556	-0.134831461
A22023A22064	Hybrid	51	59.5	16.8	17.2	24.05	19.05	18.35	20.95	21.45	21.8	18.5	18.3	0.801909308	0.801864802	1.103211009	1.02972973	1.00273224	-0.092261905	0.126491647
Ames22030	Inbred	54	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSL5639	Landrace	50.5	48	16.8	16.65	15.65	15	13.5	17.1	15.9	14.65	13.5	13.45	0.98245614	1.047169811	1.068259386	1.111111111	1.003717472	0.196428571	0.213450292
PI628428	Landrace	71.5	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI233318	Inbred	42	48	15.1	16.15	13.85	15.45	16.05	13.5	15.25	13.2	15.45	17.35	1.118518519	1.059016393	1.049242424	1	0.925072046	-0.062913907	-0.285185185
Ames22036	Inbred	48	47	14.4	14.15	12.7	14.05	15.3	12.1	10.2	8.25	9.95	12.25	1.190082645	1.387254902	1.539393939	1.412060302	1.248979592	-0.0625	-0.012396694
PI231739	Landrace	50.5	50	14.8	14	12.05	13.8	13.5	16.75	16	14.55	13.75	13.4	0.88358209	0.875	0.828178694	1.003636364	1.007462687	0.087837838	0.2
PI213796	Landrace	53	40	12.2	13.2	14.35	12.65	10.3	13.5	15.15	15.15	12.85	10.5	0.903703704	0.871287129	0.947194719	0.984435798	0.980952381	0.155737705	0.222222222
A22040A22066	Hybrid	57.5	57	15.15	15.3	12.3	15.95	15.4	16.75	16.3	14.6	14.5	13.85	0.904477612	0.938650307	0.842465753	1.1	1.111913357	-0.01650165	0.173134328
PI358539	Inbred	51	56.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames26763	Inbred	63	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22031A22028	Hybrid	61.5	59.5	16.95	15.35	19.75	16.45	16.7	17.95	13.9	17.95	17	16.1	0.944289694	1.104316547	1.100278552	0.967647059	1.037267081	0.014749263	0.103064067
PI255977	Landrace	45.5	46	20.05	20.9	24.1	23.55	22.05	23.1	25.3	20.7	19.7	19.7	0.867965368	0.826086957	1.164251208	1.195431472	1.11928934	-0.099750623	0.147186147
PI644102	Inbred	49.5	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI231302PI231301	Hybrid	47.5	49	18	15.85	14.95	14.15	13.75	16.7	16.2	14.85	13.25	12.5	1.077844311	0.978395062	1.006734007	1.067924528	1.1	0.236111111	0.251497006
PI516170	Landrace	43	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI420247	Landrace	45	53	14.75	14.55	14.6	12.95	12.75	12	12.25	14.7	15.3	15	1.229166667	1.187755102	0.993197279	0.846405229	0.85	0.13559322	-0.25
Ames22017	Inbred	41.5	48	15.95	14.1	13.2	13.4	14	13.75	11.9	10.65	11.1	10.75	1.16	1.18487395	1.23943662	1.207207207	1.302325581	0.122257053	0.218181818
A22031A22030	Hybrid	57	51.5	18.5	19.55	18.95	18.95	19.3	17.3	17.75	19.75	19.15	18.6	1.069364162	1.101408451	0.959493671	0.989556136	1.037634409	-0.043243243	-0.075144509
Ames22066	Inbred	53.5	53.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI587126	Inbred	45.5	40	15.95	16.1	16.5	17.25	16.8	16	15.55	13.25	14.55	16	0.996875	1.035369775	1.245283019	1.18556701	1.05	-0.053291536	0
Ames22062	Inbred	56.5	59.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI358526	Inbred	52	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
