Taxa	Cold_Day_1	Cold_Day_2	Cold_Day_3
NSL5634	NA	NA	NA
Ames22041	17	12.95	14.6
PI415243PI516128	15.25	13.95	13.5
Ames27118	NA	NA	NA
A22062A22064	16.15	16.75	15.25
NSL5613	NA	NA	NA
PI358530	NA	NA	NA
A22028A22027	16.3	17.35	23.45
NSL5637	14.9	14.05	12.4
PI183742	9.7	9.55	9.25
Ames22024	16.6	15.05	13.75
PI516176	9.4	9.85	10.85
PI358539PI358532	16.1	13.9	11.85
Ames22020	15.7	14.15	12.8
PI177589	12.1	13.35	14.1
Ames22035	21.05	19.35	16.25
Ames22039	15.9	16.05	12.7
PI219894	17.7	18.85	16.3
A22063A22064	20.55	22.5	21.15
Ames22642	15.95	13.45	11.55
PI233322	15.85	17.4	15.35
PI219886	NA	NA	NA
A22036A024	16.2	17.4	15.4
PI612343	14.1	13.85	14.35
A22062A22059	16.45	16.65	16.45
NSL15405	18.6	18.8	14.4
Ames22634	10.45	9.65	8.95
PI516067	NA	NA	NA
A22020A22065	18.5	16.8	14.1
Ames22050	NA	NA	NA
Ames22044	17.85	19.55	16.95
PI231749PI183742	15.2	14.6	13.9
PI231301PI231746	16.9	15.05	13.75
NSL5616NSL103821	NA	NA	NA
PI296723	NA	NA	NA
Ames22013	14.3	12.65	12.65
NSL34379	NA	NA	NA
NSL42806	7.6	7.7	6.85
PI231749	NA	NA	NA
A22023A22033	13.65	14.25	17.6
Ames22040	NA	NA	NA
PI587135	9.05	10.35	9.1
PI628519	NA	NA	NA
PI162573	10.6	10.75	9.85
PI567793PI567792	21	18.75	16.35
NSL42807	NA	NA	NA
A909A039P768	NA	NA	NA
A22049A22640	21.2	19.75	19.45
PI608627PI578125	16.9	15.55	14.7
Ames22023	NA	NA	NA
F2F2	24.45	23	21.9
Ames22640	13.7	11.55	11.55
Ames22047	NA	NA	NA
PI358533PI685985	12.4	12.2	11.6
NSL5637PI168025	NA	NA	NA
PI233317	18.1	18.05	16.45
NSL8585	NA	NA	NA
A22041PI233317	18.35	19.4	14.75
NSL67056	NA	NA	NA
A22640A23848	NA	NA	NA
PI177107PI162573	18.05	18.3	16.6
Ames27119	NA	NA	NA
Ames22048	NA	NA	NA
PI578125	16.2	16.2	21.35
PI516160PI516162	16.3	14.35	14.6
Ames23510	16.45	14.5	13.55
PI516167PI516172	NA	NA	NA
Ames22032	NA	NA	NA
PI219880	NA	NA	NA
Ames22053	NA	NA	NA
PI358539NS101292	12.35	12.8	12.3
A22050A22049	15.15	17.45	16.6
Ames22033	NA	NA	NA
Ames22025	NA	NA	NA
Ames22046	NA	NA	NA
PI516166	10.15	10.35	10.45
Ames22012	NA	NA	NA
PI515458	NA	NA	NA
Ames23509	16.6	16.15	13.1
PI515454	NA	NA	NA
NS101292PI358532	11.6	13.6	10.8
NSL8581	NA	NA	NA
Ames26765	15.2	19.5	13.6
Ames22015	18.75	19.5	14.9
Ames22018	16.05	15.4	15.3
Ames22052	NA	NA	NA
PI204823	20.2	19.4	17.95
Ames27446	NA	NA	NA
PI253730	NA	NA	NA
PI358536	NA	NA	NA
PI515426	NA	NA	NA
PI415228PI415243	11.95	10.8	13.95
PI516139PI516152	14.7	13.7	13.55
PI231745	16.4	14.4	16.9
PI358534	NA	NA	NA
PI204813PI204812	14.75	14.7	14.1
Ames22022	NA	NA	NA
PI255977PI245130	20.35	18.75	18
PI550493	NA	NA	NA
Ames22016	16.4	15.3	14.15
PI177107	12.6	14.3	12.85
Ames22042	NA	NA	NA
A22049A22025	14.9	15.05	13.65
PI515464	NA	NA	NA
NSL8583	NA	NA	NA
NSL73325PI204812	18.7	16.35	16.15
NSL229320	13	13.05	12.5
PI220866	15.3	16.3	15
Ames26762	14.8	15.45	12.15
PI358527	17.05	15	13.1
PI516165	16.45	15.7	12.95
A22066A22064	12.15	11.65	14.1
PI358538	NA	NA	NA
NSL42727NSL5637	NA	NA	NA
PI219870	NA	NA	NA
A22023A22062	13.35	11.95	13.4
PI358522	NA	NA	NA
PI231297	11.1	11	11.35
PI586705	12.55	12.35	16.95
PI608627	9.3	8.95	10.8
NSL42727NSL5639	NA	NA	NA
PI516153	17.5	15.75	17.35
PI516160	15.15	15	14.1
Ames22029	15.3	13.7	12.3
Ames22062NSL8579	15.55	16.5	17.25
PI516160PI516163	18.2	15.6	15.1
PI587133	NA	NA	NA
PI231298	13.15	12.9	11.65
Ames22067	32.05	27.8	23.7
Ames22028	12.7	14.2	12.85
Ames22014	NA	NA	NA
PI231746	NA	NA	NA
Ames23508	18.65	20.35	17.75
A28439A28369	NA	NA	NA
PI231302	10.65	10.65	10.35
NSL101292	NA	NA	NA
PI516168PI516170	15.25	15	15.8
NSL5618	19	17.35	15.2
PI516167	12.55	11.75	14.2
PI231746PI233005	17.3	16.9	15.35
A22041A22064	17.4	14.6	20
PI443845	NA	NA	NA
A22025A22023	15.85	15.8	15.15
A22049A22634	13.5	13.3	13.05
A22023A22064	16.8	17.2	24.05
Ames22030	NA	NA	NA
NSL5639	16.8	16.65	15.65
PI628428	NA	NA	NA
PI233318	15.1	16.15	13.85
Ames22036	14.4	14.15	12.7
PI231739	14.8	14	12.05
PI213796	12.2	13.2	14.35
A22040A22066	15.15	15.3	12.3
PI358539	NA	NA	NA
Ames26763	NA	NA	NA
A22031A22028	16.95	15.35	19.75
PI255977	20.05	20.9	24.1
PI644102	NA	NA	NA
PI231302PI231301	18	15.85	14.95
PI516170	NA	NA	NA
PI420247	14.75	14.55	14.6
Ames22017	15.95	14.1	13.2
A22031A22030	18.5	19.55	18.95
Ames22066	NA	NA	NA
PI587126	15.95	16.1	16.5
Ames22062	NA	NA	NA
PI358526	NA	NA	NA
NS101292PI358527	15.6	15.85	13.25
A22021A22022	8.9	9.4	10.1
PI231746PI231297	19.7	15.65	15.1
Ames27120	NA	NA	NA
Ames22031	NA	NA	NA
PI567792	NA	NA	NA
PI415228PI406207	13.45	11.55	10.55
A22640A22634	16.7	16.65	16.25
A22020A22043	15.85	17.5	22.35
PI587126NSL5639	20.05	20.55	23.25
Ames22055	NA	NA	NA
PI509046	NA	NA	NA
PI233316PI233318	15.05	15.25	14.7
A22634A22640	15.5	14.25	13.45
A22041A22025	14.65	16.8	15.95
PI233318PI233316	17.8	17.25	19.35
Ames32909	NA	NA	NA
Ames22019	NA	NA	NA
Ames22045	NA	NA	NA
PI204813PI231296	15.9	13.1	13.45
A22027A22033	15.1	14.6	15
Ames27445	NA	NA	NA
PI231749PI231748	27.15	24.5	22.3
Ames22034	17.3	14.95	12.75
PI177642	11.4	11	11.15
Ames28957	NA	NA	NA
PI231746PI231749	17.55	15.25	14.9
Ames23507	18.05	16.85	14.95
PI231298PI162573	16.9	16.7	16.25
Ames28364	NA	NA	NA
A22066A22055	15.45	15.25	14.3
A22640A33235	12.45	12.7	13.3
PI233319	18.35	17.85	16.05
Ames22064	NA	NA	NA
PI358533	NA	NA	NA
A22036PI233316	24.4	23.8	22.8
PI231746	NA	NA	NA
